Experiment 1,,,,,,,,,,,,,Experiment 2,,,,,,,,,,,
Diluent,Nominal Fraction Unfiltered Water,Apparent Fraction Unfiltered Water ,,,,,,,,RSD of T0 Chla,,,Diluent,Treatment,Nominal Fraction Unfiltered Water,Apparent Fraction Unfiltered Water ,,,,,,,,RSD of T0 Chla
,,Replicate 1,,Replicate 2,,Replicate 3,,Average,,,,,,,,Replicate 1,,Replicate 2,,Replicate 3,,Average,,
Atlantic Shelf Method,,,,,,,,,,,,,,,,Atlantic Shelf Vitamin,,,,,,,,
0.2 µm Prefiltered Water,0.1,0.270,0.083,0.176,0.054,0.168,0.052,0.205,0.063,28%,,,GFF (0.7 µm) Prefiltered Water,Control,0.1,0.10,0.02,0.09,0.01,0.07,0.01,0.09,0.014,14%
,0.15,0.215,0.065,0.198,0.060,0.319,0.096,0.244,0.073,27%,,,,+ F/200 Vitamins,0.1,0.11,0.02,0.11,0.02,0.10,0.02,0.10,0.022,18%
,0.25,0.258,0.041,0.252,0.040,0.294,0.046,0.268,0.042,8.4%,,,,Control,0.25,0.26,0.02,0.19,0.02,0.19,0.02,0.22,0.020,7.4%
,0.5,0.478,0.071,0.491,0.073,0.433,0.064,0.467,0.070,6.6%,,,,+ F/200 Vitamins,0.25,0.22,0.02,0.27,0.03,0.29,0.03,0.26,0.029,2.6%
GF/F Prefiltered Water,0.1,0.100,0.014,0.093,0.013,0.093,0.013,0.095,0.013,4.7%,,,,Control,0.5,0.48,0.08,0.52,0.08,0.56,0.09,0.52,0.082,15%
,0.15,0.138,0.036,0.145,0.038,0.093,0.024,0.125,0.033,23%,,,,+ F/200 Vitamins,0.5,0.55,0.06,0.52,0.06,0.51,0.06,0.53,0.061,3.6%
,0.25,0.233,0.042,0.216,0.039,0.274,0.049,0.241,0.044,12%,,,Major Ion Solution,Control,0.1,0.09,0.01,0.09,0.01,0.09,0.01,0.09,0.005,0.82%
,0.5,0.462,0.071,0.444,0.068,0.513,0.079,0.473,0.073,7.6%,,,,+ F/200 Vitamins,0.1,0.09,0.02,0.09,0.02,0.10,0.02,0.09,0.017,15%
MIS,0.1,0.082,0.020,0.054,0.013,0.070,0.017,0.069,0.017,20%,,,,Control,0.25,0.23,0.03,0.18,0.03,0.18,0.03,0.20,0.028,13%
,0.15,0.108,0.052,0.250,0.119,0.136,0.065,0.165,0.079,46%,,,,+ F/200 Vitamins,0.25,0.29,0.04,0.21,0.03,0.21,0.03,0.24,0.030,6.5%
,0.25,0.233,0.038,0.204,0.033,0.198,0.032,0.212,0.034,9.0%,,,,Control,0.5,0.36,0.07,0.43,0.09,0.47,0.10,0.42,0.085,19%
,0.5,0.493,0.073,0.538,0.079,0.478,0.070,0.503,0.074,6.2%,,,,+ F/200 Vitamins,0.5,0.50,0.06,0.55,0.07,0.54,0.07,0.53,0.065,5.7%
No Dilution,1,Undiluted Average T0 Chl a (µg/L),,,,,,0.16,0.02,13%,,,No Dilution,Control,1,Undiluted Average,,,,,,0.54,0.03,5.8%
Pamlico Sound Method,,,,,,,,,,,,,,+ F/200 Vitamins,1,Undiluted + F/200 Vitamins Average,,,,,,0.46,0.05,11%
0.2 µm Prefiltered Water,0.1,0.06,0.006,0.06,0.006,0.05,0.005,0.06,0.006,8.2%,,,,,,Pamlico Sound Vitamin,,,,,,,,
,0.15,0.12,0.007,0.12,0.007,0.12,0.007,0.12,0.007,1.2%,,,GFF (0.7 µm) Prefiltered Water,Control,0.1,0.12,0.01,0.12,0.01,0.12,0.01,0.12,0.007,2.1%
,0.25,0.18,0.031,0.22,0.039,0.16,0.029,0.19,0.033,17%,,,,+ F/200 Vitamins,0.1,0.12,0.01,0.10,0.01,0.11,0.01,0.11,0.013,3.7%
,0.5,0.43,0.037,0.44,0.037,0.49,0.041,0.45,0.038,6.5%,,,,Control,0.25,0.30,0.01,0.29,0.01,0.28,0.01,0.29,0.010808712,6.8%
GF/F Prefiltered Water,0.1,0.08,0.012,0.06,0.009,0.08,0.012,0.07,0.011,14%,,,,+ F/200 Vitamins,0.25,0.28,0.01,0.26,0.01,0.25,0.01,0.26,0.012503401,7.9%
,0.15,0.11,0.024,0.12,0.027,0.08,0.017,0.10,0.023,22%,,,,Control,0.5,0.57,0.04,0.57,0.04,0.50,0.03,0.55,0.037034705,4.8%
,0.25,0.20,0.023,0.25,0.028,0.23,0.025,0.23,0.025,9.8%,,,,+ F/200 Vitamins,0.5,0.49,0.03,0.46,0.03,0.52,0.03,0.49,0.030253263,6.2%
,0.5,0.50,0.037,0.52,0.039,0.47,0.035,0.50,0.037,5.2%,,,Major Ion Solution,Control,0.1,0.11,0.01,0.10,0.00,0.10,0.01,0.10,0.00520023,5.2%
MIS,0.1,0.05,0.004,0.05,0.004,0.06,0.005,0.05,0.004,6.2%,,,,+ F/200 Vitamins,0.1,0.11,0.00,0.10,0.00,0.11,0.00,0.11,0.002408878,4.9%
,0.15,0.12,0.025,0.14,0.028,0.09,0.019,0.12,0.024,20%,,,,Control,0.25,0.23,0.01,0.25,0.01,0.25,0.01,0.24,0.01191783,2.4%
,0.25,0.18,0.022,0.19,0.023,0.15,0.019,0.18,0.021,11%,,,,+ F/200 Vitamins,0.25,0.26,0.02,0.26,0.02,0.29,0.02,0.27,0.01887097,2.3%
,0.5,0.35,0.024,0.37,0.025,0.38,0.026,0.37,0.025,4.3%,,,,Control,0.5,0.51,0.01,0.50,0.01,0.52,0.01,0.51,0.012102075,7.0%
No Dilution,1,Undiluted Average,,,,,,3.81,0.20,5.4%,,,,+ F/200 Vitamins,0.5,0.48,0.03,0.53,0.03,0.53,0.03,0.51,0.027934834,5.4%
Neuse River Estuary Method,,,,,,,,,,,,,,Control,1,Undiluted Average,,,,,,6.45,0.25,3.8%
0.2 µm Prefiltered Water,0.1,0.09,0.007,0.09,0.007,0.08,0.007,0.09,0.007,5.6%,,,,+ F/200 Vitamins,1,Undiluted + F/200 Vitamins Average,,,,,,6.59,0.26,3.9%
,0.15,0.11,0.008,0.12,0.008,0.12,0.008,0.12,0.008,3.5%,,,,,,Neuse River Estuary Vitamin,,,,,,,,
,0.25,0.19,0.047,0.21,0.051,0.30,0.072,0.23,0.057,24%,,,GFF (0.7 µm) Prefiltered Water,Control,0.1,0.13,0.01,0.15,0.01,0.14,0.01,0.14,0.006097956,4.3%
,0.5,0.44,0.026,0.44,0.025,0.44,0.025,0.44,0.025,0.82%,,,,+ F/200 Vitamins,0.1,0.15,0.01,0.14,0.01,0.12,0.01,0.14,0.012806136,4.5%
GF/F Prefiltered Water,0.1,0.09,0.006,0.09,0.006,0.09,0.006,0.09,0.006,4.1%,,,,Control,0.25,0.33,0.01,0.31,0.01,0.31,0.01,0.31,0.014019851,3.7%
,0.15,0.12,0.021,0.12,0.021,0.09,0.015,0.11,0.019,17%,,,,+ F/200 Vitamins,0.25,0.28,0.02,0.28,0.02,0.31,0.02,0.29,0.019220315,9.3%
,0.25,0.26,0.029,0.22,0.024,0.22,0.025,0.23,0.026,9.6%,,,,Control,0.5,0.44,0.02,0.43,0.02,0.46,0.02,0.44,0.01646297,6.6%
,0.5,0.30,0.028,0.35,0.033,0.32,0.030,0.32,0.030,7.6%,,,,+ F/200 Vitamins,0.5,0.48,0.02,0.52,0.03,0.47,0.02,0.49,0.024642897,5.0%
MIS,0.1,0.06,0.007,0.08,0.009,0.07,0.008,0.07,0.008,9.6%,,,Major Ion Solution,Control,0.1,0.12,0.00,0.12,0.00,0.12,0.00,0.12,0.003675843,3.1%
,0.15,0.12,0.019,0.09,0.015,0.12,0.019,0.11,0.018,15%,,,,+ F/200 Vitamins,0.1,0.13,0.01,0.12,0.01,0.11,0.01,0.12,0.008749763,18%
,0.25,0.31,0.019,0.30,0.019,0.32,0.020,0.31,0.019,2.3%,,,,Control,0.25,0.21,0.04,0.23,0.04,0.30,0.05,0.24,0.045039583,12%
,0.5,0.38,0.028,0.40,0.029,0.36,0.026,0.38,0.027,4.4%,,,,+ F/200 Vitamins,0.25,0.27,0.01,0.29,0.01,0.27,0.01,0.28,0.011872535,7.2%
No Dilution,1,Undiluted Average,,,,,,133.27,7.57,5.7%,,,,Control,0.5,0.38,0.05,0.46,0.05,0.37,0.04,0.40,0.04731834,4.3%
Chowan River Method,,,,,,,,,,,,,,+ F/200 Vitamins,0.5,0.44,0.05,0.34,0.04,0.39,0.05,0.39,0.047222612,12%
0.2 µm Prefiltered Water,0.1,0.10,0.009,0.10,0.009,0.09,0.008,0.10,0.009,5.2%,,,,Control,1,Undiluted Average,,,,,,22.61,0.90,4.0%
,0.15,0.11,0.021,0.15,0.029,0.15,0.028,0.14,0.026,17%,,,,+ F/200 Vitamins,1,Undiluted + F/200 Vitamins Average,,,,,,20.72,0.99,4.8%
,0.25,0.24,0.027,0.21,0.024,0.21,0.023,0.22,0.025,8.3%,,,,,,Chowan River Vitamin,,,,,,,,
,0.5,0.47,0.037,0.47,0.037,0.50,0.039,0.48,0.038,2.6%,,,GFF (0.7 µm) Prefiltered Water,Control,0.1,0.13,0.02,0.10,0.01,0.12,0.02,0.12,0.014681335,13%
GF/F Prefiltered Water,0.1,0.11,0.014,0.09,0.012,0.09,0.012,0.10,0.012,10%,,,,+ F/200 Vitamins,0.1,0.12,0.01,0.11,0.01,0.10,0.01,0.11,0.005698978,2.8%
,0.15,0.13,0.021,0.12,0.019,0.09,0.015,0.11,0.018,15%,,,,Control,0.25,0.28,0.01,0.27,0.01,0.27,0.01,0.27,0.007535487,9.8%
,0.25,0.23,0.027,0.19,0.022,0.22,0.026,0.21,0.025,9.1%,,,,+ F/200 Vitamins,0.25,0.24,0.01,0.24,0.01,0.23,0.01,0.24,0.008035691,5.2%
,0.5,0.41,0.035,0.44,0.037,0.44,0.037,0.43,0.036,4.3%,,,,Control,0.5,0.40,0.04,0.48,0.05,0.44,0.04,0.44,0.043046851,3.4%
MIS,0.1,0.09,0.009,0.09,0.009,0.08,0.008,0.09,0.009,7.0%,,,,+ F/200 Vitamins,0.5,0.50,0.04,0.46,0.04,0.54,0.04,0.50,0.038350361,7.7%
,0.15,0.08,0.014,0.11,0.018,0.11,0.019,0.10,0.017,16%,,,Major Ion Solution,Control,0.1,0.09,0.00,0.10,0.00,0.09,0.00,0.09,0.003647056,3.9%
,0.25,0.21,0.018,0.21,0.018,0.19,0.017,0.20,0.017,4.4%,,,,+ F/200 Vitamins,0.1,0.09,0.00,0.08,0.00,0.09,0.00,0.09,0.004592571,7.2%
,0.5,0.46,0.043,0.46,0.043,0.51,0.048,0.48,0.045,5.8%,,,,Control,0.25,0.24,0.02,0.22,0.02,0.20,0.01,0.22,0.015740296,9.7%
No Dilution,1,Undiluted Average,,,,,,37.03,2.73,7.4%,,,,+ F/200 Vitamins,0.25,0.49,0.01,0.48,0.01,0.49,0.01,0.49,0.009432875,5.3%
Jordan Lake Method,,,,,,,,,,,,,,Control,0.5,0.46,0.04,0.38,0.04,0.44,0.04,0.43,0.041593598,1.9%
0.2 µm Prefiltered Water,0.1,0.19,0.019,0.16,0.016,0.16,0.016,0.17,0.017,8.8%,,,,+ F/200 Vitamins,0.5,0.44,0.02,0.46,0.03,0.49,0.03,0.47,0.025909134,5.5%
,0.15,0.28,0.042,0.23,0.035,0.22,0.032,0.24,0.036,14%,,,,Control,1,Undiluted Average,,,,,,2.86,0.11,3.9%
,0.25,0.44,0.029,0.41,0.028,0.45,0.030,0.43,0.029,4.7%,,,,+ F/200 Vitamins,1,Undiluted + F/200 Vitamins Average,,,,,,2.63,0.50,19%
,0.5,0.91,0.067,0.82,0.060,0.89,0.066,0.88,0.064,5.6%,,,,,,Jordan Lake Vitamin,,,,,,,,
GF/F Prefiltered Water,0.1,0.16,0.013,0.18,0.014,0.16,0.013,0.17,0.013,6.5%,,,GFF (0.7 µm) Prefiltered Water,Control,0.1,0.09,0.00,0.09,0.00,0.10,0.00,0.09,0.00284366,3.0%
,0.15,0.19,0.039,0.23,0.047,0.16,0.032,0.19,0.039,20%,,,,+ F/200 Vitamins,0.1,0.10,0.00,0.10,0.00,0.11,0.01,0.10,0.004978486,6.7%
,0.25,0.40,0.036,0.38,0.034,0.44,0.040,0.40,0.037,7.7%,,,,Control,0.25,0.23,0.02,0.23,0.02,0.26,0.02,0.24,0.016042808,4.8%
,0.5,0.79,0.056,0.79,0.057,0.86,0.062,0.82,0.058,5.3%,,,,+ F/200 Vitamins,0.25,0.26,0.01,0.27,0.01,0.26,0.01,0.26,0.009127796,4.8%
MIS,0.1,0.17,0.010,0.16,0.009,0.17,0.009,0.17,0.009,3.0%,,,,Control,0.5,0.49,0.02,0.51,0.02,0.54,0.03,0.51,0.024666382,3.5%
,0.15,0.24,0.030,0.22,0.027,0.19,0.024,0.22,0.027,11%,,,,+ F/200 Vitamins,0.5,0.44,0.01,0.45,0.01,0.43,0.01,0.44,0.013037688,3.0%
,0.25,0.42,0.036,0.48,0.041,0.46,0.039,0.45,0.039,7.0%,,,Major Ion Solution,Control,0.1,0.10,0.00,0.10,0.00,0.09,0.00,0.10,0.003163611,3.3%
,0.5,1.00,0.110,0.82,0.090,0.89,0.098,0.90,0.099,9.9%,,,,+ F/200 Vitamins,0.1,0.10,0.01,0.08,0.01,0.09,0.01,0.09,0.012442169,10%
No Dilution,1,Undiluted Average,,,,,,10.06,0.48,4.8%,,,,Control,0.25,0.24,0.02,0.25,0.03,0.29,0.03,0.26,0.026907038,1.5%
,,,,,,,,,,,,,,+ F/200 Vitamins,0.25,0.28,0.02,0.24,0.02,0.27,0.02,0.26,0.019009682,14%
,,,,,,,,,,,,,,Control,0.5,0.52,0.01,0.50,0.01,0.51,0.01,0.51,0.007586671,7.2%
,,,,,,,,,,,,,,+ F/200 Vitamins,0.5,0.56,0.05,0.50,0.04,0.47,0.04,0.51,0.043603888,8.6%
,,,,,,,,,,,,,,Control,1,Undiluted Average,,,,,,24.22,0.34,1.4%
,,,,,,,,,,,,,,+ F/200 Vitamins,1,Undiluted + F/200 Vitamins Average,,,,,,23.53,1.02,4.3%
