Experiment 1,,,,,,,,,,,,,,,,Experiment 2,,,,,,,,,,,,,,Zeros
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diluent,Nominal Fraction Unfiltered Water,chl-a concentration (?g/L),,,,,,,,,,,,,,Diluent,Treatment,Nominal Fraction Unfiltered Water,chl-a concentration (?g/L),,,,,,,,,,,
,,t = 0,,,,,,t = 2 d,,,,,,,,,,,t = 0,,,,,,t = 2 d,,,,,
,,Replicate 1,Replicate 2,Replicate 3,Average,,RSD,Replicate 1,Replicate 2,Replicate 3,Average,,RSD,,,,,,Replicate 1,Replicate 2,Replicate 3,Average,,RSD,Replicate 1,Replicate 2,Replicate 3,Average,,RSD
Atlantic Shelf,,,,,,,,,,,,,,,,Atlantic Shelf Vitamin,,,,,,,,,,,,,,
0.2 µm Prefiltered Water,0.1,0.044,0.029,0.027,0.033,±0.009,28%,0.072,0.063,0.075,0.070,±0.006,8.8%,,,GFF (0.7 µm) Prefiltered Water,Control,0.1,0.053,0.048,0.040,0.047,±0.007,14%,0.254,0.211,0.258,0.241,±0.026,11%
,0.15,0.035,0.032,0.052,0.039,±0.011,27%,0.106,0.120,0.116,0.114,±0.007,6.5%,,,,+ F/200 Vitamins,0.1,0.048,0.049,0.046,0.048,±0.001,2.6%,0.316,0.361,0.228,0.302,±0.067,22%
,0.25,0.042,0.041,0.048,0.043,±0.004,8.4%,0.192,0.207,0.215,0.205,±0.011,5.6%,,,,Control,0.25,0.142,0.105,0.105,0.117,±0.021,18%,0.745,1.048,0.849,0.881,±0.154,17%
,0.5,0.077,0.080,0.070,0.076,±0.005,6.6%,0.242,0.313,0.298,0.284,±0.038,13%,,,,+ F/200 Vitamins,0.25,0.099,0.124,0.133,0.119,±0.017,15%,0.764,0.743,0.687,0.731,±0.040,5.4%
GFF (0.7 µm) Prefiltered Water,0.1,0.016,0.015,0.015,0.015,±0.001,4.7%,0.072,0.174,0.084,0.110,±0.056,51%,,,,Control,0.5,0.259,0.280,0.300,0.280,±0.021,7.4%,2.606,2.420,2.652,2.559,±0.123,4.8%
,0.15,0.022,0.024,0.023,0.023,±0.001,2.7%,0.125,0.098,0.096,0.106,±0.016,15%,,,,+ F/200 Vitamins,0.5,0.251,0.240,0.233,0.241,±0.009,3.6%,2.018,1.921,2.181,2.040,±0.131,6.4%
,0.25,0.038,0.035,0.044,0.039,±0.005,12%,0.201,0.181,0.193,0.192,±0.010,5.3%,,,Major Ion Solution,Control,0.1,0.047,0.047,0.046,0.047,±0.000,0.82%,0.094,0.103,0.587,0.262,±0.282,108%
,0.5,0.075,0.072,0.083,0.077,±0.006,7.6%,0.327,0.312,0.301,0.313,±0.013,4.2%,,,,+ F/200 Vitamins,0.1,0.039,0.041,0.045,0.042,±0.003,6.5%,1.741,1.653,1.852,1.749,±0.100,5.7%
Major Ion Solution,0.1,0.013,0.009,0.011,0.011,±0.002,20%,0.566,0.735,0.638,0.646,±0.085,13%,,,,Control,0.25,0.125,0.096,0.099,0.107,±0.016,15%,2.811,3.311,2.925,3.016,±0.262,8.7%
,0.15,0.018,0.041,0.022,0.027,±0.012,46%,0.980,1.057,1.135,1.057,±0.077,7.3%,,,,+ F/200 Vitamins,0.25,0.134,0.096,0.098,0.109,±0.021,19%,3.227,3.562,3.336,3.375,±0.171,5.1%
,0.25,0.038,0.033,0.032,0.034,±0.003,9.0%,1.902,2.293,2.253,2.149,±0.215,10%,,,,Control,0.5,0.195,0.230,0.253,0.226,±0.029,13%,2.967,2.019,2.666,2.551,±0.484,19%
,0.5,0.080,0.087,0.077,0.081,±0.005,6.2%,2.666,2.432,2.315,2.471,±0.179,7.2%,,,,+ F/200 Vitamins,0.5,0.228,0.253,0.249,0.243,±0.014,5.7%,3.033,3.595,3.354,3.327,±0.282,8.5%
Undiluted,1,0.159,0.185,0.142,0.162,±0.022,13%,0.384,0.334,0.449,0.389,±0.058,15%,,,No Dilution,Control,1,0.553,0.529,0.602,0.561,±0.037,6.6%,1.157,1.377,1.283,1.272,±0.110,8.7%
Pamlico Sound,,,,,,,,,,,,,,,,,+ F/200 Vitamins,1,0.513,0.452,0.413,0.459,±0.050,11%,1.793,1.695,2.036,1.841,±0.176,9.5%
0.2 µm Prefiltered Water,0.1,0.231,0.234,0.201,0.222,±0.018,8.2%,1.461,1.679,1.543,1.561,±0.110,7.1%,,,Pamlico Sound Vitamin,,,,,,,,,,,,,,
,0.15,0.460,0.463,0.471,0.465,±0.006,1.2%,2.948,2.249,2.826,2.674,±0.373,14%,,,GFF (0.7 µm) Prefiltered Water,Control,0.1,0.792,0.760,0.782,0.778,±0.016,2.1%,3.786,3.477,3.852,3.705,±0.200,5.4%
,0.25,0.677,0.853,0.622,0.717,±0.121,17%,3.372,4.737,3.919,4.009,±0.687,17%,,,,+ F/200 Vitamins,0.1,0.779,0.668,0.703,0.717,±0.057,7.9%,3.339,3.309,3.176,3.275,±0.087,2.6%
,0.5,1.656,1.680,1.862,1.733,±0.113,6.5%,9.926,7.670,9.614,9.070,±1.222,13%,,,,Control,0.25,1.942,1.856,1.804,1.867,±0.070,3.7%,3.544,3.660,3.314,3.506,±0.176,5.0%
GFF (0.7 µm) Prefiltered Water,0.1,0.296,0.229,0.297,0.274,±0.039,14%,1.742,1.163,1.806,1.570,±0.354,23%,,,,+ F/200 Vitamins,0.25,1.818,1.694,1.662,1.725,±0.082,4.8%,3.462,3.676,3.124,3.421,±0.278,8.1%
,0.15,0.403,0.463,0.427,0.431,±0.030,7.0%,2.751,2.516,2.885,2.717,±0.187,6.9%,,,,Control,0.5,3.656,3.682,3.256,3.531,±0.239,6.8%,3.686,3.882,2.942,3.503,±0.496,14%
,0.25,0.780,0.950,0.864,0.865,±0.085,10%,5.083,4.421,4.500,4.668,±0.362,7.7%,,,,+ F/200 Vitamins,0.5,3.254,3.034,3.432,3.240,±0.199,6.2%,3.210,3.342,2.808,3.120,±0.278,8.9%
,0.5,1.898,1.997,1.799,1.898,±0.099,5.2%,10.533,9.712,7.161,9.135,±1.758,19%,,,Major Ion Solution,Control,0.1,0.681,0.614,0.650,0.648,±0.034,5.2%,1.211,1.068,0.944,1.074,±0.134,12%
Major Ion Solution,0.1,0.194,0.202,0.219,0.205,±0.013,6.2%,2.056,2.277,2.280,2.204,±0.128,5.8%,,,,+ F/200 Vitamins,0.1,0.717,0.687,0.711,0.705,±0.016,2.3%,1.349,1.384,1.010,1.248,±0.207,17%
,0.15,0.470,0.520,0.347,0.446,±0.089,20%,4.267,3.273,3.432,3.657,±0.534,15%,,,,Control,0.25,1.486,1.636,1.590,1.571,±0.077,4.9%,1.340,1.258,1.530,1.376,±0.140,10%
,0.25,0.681,0.733,0.590,0.668,±0.072,11%,6.852,5.842,5.320,6.005,±0.779,13%,,,,+ F/200 Vitamins,0.25,1.734,1.684,1.920,1.779,±0.124,7.0%,1.728,1.420,1.592,1.580,±0.154,9.8%
,0.5,1.335,1.409,1.455,1.400,±0.061,4.3%,11.704,10.080,11.702,11.162,±0.937,8.4%,,,,Control,0.5,3.280,3.206,3.362,3.283,±0.078,2.4%,2.230,2.240,1.770,2.080,±0.269,13%
Undiluted,1,3.598,3.840,4.005,3.814,±0.205,5.4%,20.918,21.600,21.566,21.361,±0.384,1.8%,,,,+ F/200 Vitamins,0.5,3.178,3.460,3.524,3.387,±0.184,5.4%,2.066,2.616,2.212,2.298,±0.285,12%
Neuse River Estuary,,,,,,,,,,,,,,,,No Dilution,Control,1,6.488,6.132,6.162,6.261,±0.197,3.2%,4.284,4.056,4.562,4.301,±0.253,5.9%
0.2 µm Prefiltered Water,0.1,12.119,11.834,10.869,11.607,±0.655,5.6%,14.944,10.224,13.835,13.001,±2.468,19%,,,,+ F/200 Vitamins,1,6.472,6.884,6.414,6.590,±0.256,3.9%,3.720,4.564,4.140,4.141,±0.422,10%
,0.15,15.284,15.682,16.363,15.776,±0.546,3.5%,21.295,19.190,19.739,20.075,±1.092,5.4%,,,Neuse River Estuary Vitamin,,,,,,,,,,,,,,
,0.25,25.744,28.225,39.546,31.172,±7.358,24%,32.379,32.547,35.472,33.466,±1.739,5.2%,,,GFF (0.7 µm) Prefiltered Water,Control,0.1,3.043,3.318,3.163,3.175,±0.138,4.3%,4.318,4.144,4.555,4.339,±0.206,4.8%
,0.5,59.286,58.377,59.112,58.925,±0.482,0.82%,76.032,78.544,74.112,76.229,±2.223,2.9%,,,,+ F/200 Vitamins,0.1,3.102,2.918,2.579,2.866,±0.265,9.3%,6.545,5.272,6.010,5.942,±0.639,11%
GFF (0.7 µm) Prefiltered Water,0.1,11.392,12.249,11.463,11.701,±0.476,4.1%,17.877,14.778,17.005,16.553,±1.598,9.7%,,,,Control,0.25,7.468,6.916,6.922,7.102,±0.317,4.5%,11.545,11.618,12.609,11.924,±0.594,5.0%
,0.15,15.510,15.705,15.096,15.437,±0.311,2.0%,21.463,23.347,19.186,21.332,±2.084,9.8%,,,,+ F/200 Vitamins,0.25,5.752,5.822,6.474,6.016,±0.398,6.6%,14.743,15.779,13.320,14.614,±1.235,8.4%
,0.25,34.414,28.840,29.806,31.020,±2.979,9.6%,44.320,39.910,40.410,41.547,±2.415,5.8%,,,,Control,0.5,9.840,9.786,10.456,10.027,±0.372,3.7%,19.633,18.391,20.964,19.663,±1.287,6.5%
,0.5,39.570,45.990,42.189,42.583,±3.228,7.6%,91.496,73.164,90.000,84.887,±10.180,12%,,,,+ F/200 Vitamins,0.5,9.964,10.692,9.708,10.121,±0.511,5.0%,15.191,15.704,15.074,15.323,±0.335,2.2%
Major Ion Solution,0.1,8.606,10.384,9.904,9.631,±0.920,9.6%,23.205,15.585,23.629,20.806,±4.527,22%,,,Major Ion Solution,Control,0.1,2.763,2.603,2.644,2.670,±0.083,3.1%,5.825,2.933,4.496,4.418,±1.448,33%
,0.15,16.347,12.296,15.806,14.816,±2.199,15%,35.585,32.285,29.160,32.343,±3.213,9.9%,,,,+ F/200 Vitamins,0.1,2.696,2.498,2.334,2.509,±0.181,7.2%,7.970,7.135,5.963,7.023,±1.008,14%
,0.25,41.818,40.446,42.322,41.529,±0.971,2.3%,48.988,51.465,50.935,50.463,±1.305,2.6%,,,,Control,0.25,4.772,5.132,6.688,5.531,±1.018,18%,8.349,9.930,9.195,9.158,±0.791,8.6%
,0.5,51.051,52.833,48.384,50.756,±2.239,4.4%,80.524,79.896,88.420,82.947,±4.750,5.7%,,,,+ F/200 Vitamins,0.25,5.668,6.024,5.552,5.748,±0.246,4.3%,9.939,9.692,11.029,10.220,±0.711,7.0%
Undiluted,1,141.720,130.975,127.105,133.267,±7.572,5.7%,144.800,154.432,157.968,152.400,±6.815,4.5%,,,,Control,0.5,8.648,10.292,8.284,9.075,±1.070,12%,15.285,13.030,14.952,14.422,±1.217,8.4%
Chowan River,,,,,,,,,,,,,,,,,+ F/200 Vitamins,0.5,9.076,7.124,7.984,8.061,±0.978,12%,14.728,14.607,14.756,14.697,±0.079,0.54%
0.2 µm Prefiltered Water,0.1,3.789,3.800,3.465,3.685,±0.190,5.2%,11.441,13.089,12.410,12.313,±0.828,6.7%,,,No Dilution,Control,1,27.500,24.832,25.578,25.970,±1.377,5.3%,17.984,18.298,21.398,19.227,±1.887,9.8%
,0.15,4.098,5.672,5.568,5.113,±0.880,17%,17.732,20.892,15.134,17.919,±2.884,16%,,,,+ F/200 Vitamins,1,19.922,20.404,21.824,20.717,±0.989,4.8%,25.921,27.970,27.253,27.048,±1.040,3.8%
,0.25,8.932,7.870,7.664,8.155,±0.680,8.3%,26.686,27.884,25.744,26.771,±1.072,4.0%,,,Chowan River Vitamin,,,,,,,,,,,,,,
,0.5,17.552,17.500,18.333,17.795,±0.466,2.6%,69.480,68.688,64.748,67.639,±2.535,3.7%,,,GFF (0.7 µm) Prefiltered Water,Control,0.1,0.371,0.289,0.346,0.335,±0.042,13%,3.096,3.189,3.628,3.304,±0.284,8.6%
GFF (0.7 µm) Prefiltered Water,0.1,4.065,3.378,3.450,3.631,±0.378,10%,20.322,16.977,19.461,18.920,±1.737,9.2%,,,,+ F/200 Vitamins,0.1,0.306,0.292,0.276,0.291,±0.015,5.2%,3.266,2.984,3.894,3.381,±0.466,14%
,0.15,4.634,4.286,4.872,4.597,±0.295,6.4%,23.694,23.394,24.788,23.959,±0.734,3.1%,,,,Control,0.25,0.802,0.768,0.762,0.777,±0.022,2.8%,7.018,7.860,7.522,7.467,±0.424,5.7%
,0.25,8.388,7.104,8.320,7.937,±0.722,9.1%,39.468,45.780,40.512,41.920,±3.383,8.1%,,,,+ F/200 Vitamins,0.25,0.638,0.630,0.598,0.622,±0.021,3.4%,7.588,6.500,6.346,6.811,±0.677,9.9%
,0.5,15.000,16.116,16.224,15.780,±0.678,4.3%,70.892,82.308,84.792,79.331,±7.413,9.3%,,,,Control,0.5,1.134,1.380,1.270,1.261,±0.123,9.8%,12.744,12.026,12.114,12.295,±0.392,3.2%
Major Ion Solution,0.1,3.382,3.236,2.942,3.187,±0.224,7.0%,14.446,13.412,14.550,14.136,±0.629,4.5%,,,,+ F/200 Vitamins,0.5,1.314,1.210,1.412,1.312,±0.101,7.7%,13.742,14.575,14.414,14.244,±0.442,3.1%
,0.15,3.026,3.906,4.112,3.681,±0.577,16%,18.832,18.890,17.886,18.536,±0.564,3.0%,,,Major Ion Solution,Control,0.1,0.265,0.282,0.263,0.270,±0.010,3.9%,2.063,2.254,1.826,2.048,±0.215,10%
,0.25,7.666,7.740,7.128,7.511,±0.334,4.4%,29.044,28.836,27.556,28.479,±0.806,2.8%,,,,+ F/200 Vitamins,0.1,0.225,0.220,0.243,0.229,±0.012,5.3%,3.472,1.920,2.757,2.717,±0.777,29%
,0.5,16.998,17.068,18.796,17.621,±1.018,5.8%,58.808,56.084,58.112,57.668,±1.415,2.5%,,,,Control,0.25,0.676,0.627,0.586,0.630,±0.045,7.2%,2.312,1.833,2.224,2.123,±0.255,12%
Undiluted,1,36.684,34.494,39.920,37.033,±2.730,7.4%,89.256,94.924,113.856,99.345,±12.882,13%,,,,+ F/200 Vitamins,0.25,1.300,1.258,1.302,1.287,±0.025,1.9%,2.247,2.360,2.108,2.239,±0.126,5.6%
Jordan Lake,,,,,,,,,,,,,,,,,Control,0.5,1.318,1.092,1.270,1.227,±0.119,9.7%,4.465,3.898,4.469,4.277,±0.329,7.7%
0.2 µm Prefiltered Water,0.1,1.864,1.614,1.598,1.692,±0.149,8.8%,8.092,5.130,6.680,6.634,±1.482,22%,,,,+ F/200 Vitamins,0.5,1.166,1.224,1.302,1.231,±0.068,5.5%,4.085,5.206,3.637,4.309,±0.808,19%
,0.15,2.836,2.354,2.168,2.453,±0.345,14%,5.812,5.504,4.286,5.201,±0.807,16%,,,No Dilution,Control,1,2.900,2.738,2.658,2.765,±0.123,4.5%,8.705,9.242,9.316,9.088,±0.333,3.7%
,0.25,4.402,4.156,4.564,4.374,±0.205,4.7%,7.320,7.834,7.228,7.461,±0.327,4.4%,,,,+ F/200 Vitamins,1,3.176,2.536,2.190,2.634,±0.500,19%,9.532,10.685,8.963,9.727,±0.877,9.0%
,0.5,9.188,8.256,9.002,8.815,±0.493,5.6%,8.246,7.552,7.433,7.744,±0.439,5.7%,,,Jordan Lake Vitamin,,,,,,,,,,,,,,
GFF (0.7 µm) Prefiltered Water,0.1,1.651,1.789,1.574,1.671,±0.109,6.5%,8.592,9.694,8.188,8.825,±0.779,8.8%,,,GFF (0.7 µm) Prefiltered Water,Control,0.1,2.274,2.225,2.361,2.287,±0.069,3.0%,2.300,2.246,2.875,2.474,±0.349,14%
,0.15,1.948,2.346,2.020,2.105,±0.212,10%,6.676,5.898,6.752,6.442,±0.473,7.3%,,,,+ F/200 Vitamins,0.1,2.352,2.408,2.577,2.446,±0.117,4.8%,2.723,2.549,2.158,2.477,±0.289,12%
,0.25,3.998,3.780,4.396,4.058,±0.312,7.7%,9.262,10.956,10.228,10.149,±0.850,8.4%,,,,Control,0.25,5.638,5.480,6.218,5.779,±0.389,6.7%,4.968,5.360,5.042,5.123,±0.208,4.1%
,0.5,7.906,8.000,8.704,8.203,±0.436,5.3%,8.659,7.983,9.715,8.786,±0.873,9.9%,,,,+ F/200 Vitamins,0.25,6.002,6.404,6.072,6.159,±0.215,3.5%,4.820,5.022,4.470,4.771,±0.279,5.9%
Major Ion Solution,0.1,1.716,1.618,1.685,1.673,±0.050,3.0%,3.410,3.244,3.084,3.246,±0.163,5.0%,,,,Control,0.5,11.840,12.396,13.034,12.423,±0.597,4.8%,7.164,6.932,5.584,6.560,±0.853,13%
,0.15,2.438,2.190,1.938,2.189,±0.250,11%,3.790,2.614,2.938,3.114,±0.607,19.5%,,,,+ F/200 Vitamins,0.5,10.256,10.680,10.084,10.340,±0.307,3.0%,5.588,5.902,5.456,5.649,±0.229,4.1%
,0.25,4.238,4.878,4.600,4.572,±0.321,7.0%,4.972,4.778,5.562,5.104,±0.408,8.0%,,,Major Ion Solution,Control,0.1,2.430,2.306,2.290,2.342,±0.077,3.3%,2.611,2.380,2.195,2.395,±0.208,8.7%
,0.5,10.020,8.230,8.964,9.071,±0.900,9.9%,12.074,12.426,12.252,12.251,±0.176,1.4%,,,,+ F/200 Vitamins,0.1,2.436,1.851,2.164,2.150,±0.293,14%,3.519,3.338,2.523,3.127,±0.531,17%
Undiluted,1,10.503,9.551,10.139,10.064,±0.480,4.8%,21.978,22.750,21.028,21.919,±0.863,3.9%,,,,Control,0.25,5.754,6.026,6.994,6.258,±0.652,10%,6.102,6.204,7.000,6.435,±0.492,7.6%
,,,,,,,,,,,,,,,,,+ F/200 Vitamins,0.25,6.526,5.688,6.378,6.197,±0.447,7.2%,5.384,5.526,5.438,5.449,±0.072,1.3%
,,,,,,,,,,,,,,,,,Control,0.5,12.478,12.116,12.352,12.315,±0.184,1.5%,11.740,11.540,12.060,11.780,±0.262,2.2%
,,,,,,,,,,,,,,,,,+ F/200 Vitamins,0.5,13.100,11.816,11.072,11.996,±1.026,8.6%,11.320,11.598,13.080,11.999,±0.946,7.9%
,,,,,,,,,,,,,,,,No Dilution,Control,1,22.542,23.476,23.372,23.130,±0.512,2.2%,21.762,22.760,21.244,21.922,±0.771,3.5%
,,,,,,,,,,,,,,,,,+ F/200 Vitamins,1,24.186,22.354,24.044,23.528,±1.019,4.3%,22.128,22.594,22.178,22.300,±0.256,1.1%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,
